Energy_Lower(MeV),Energy_Upper(MeV),Energy_Mean(MeV),Flux(n/cm²/s),Flux_Error(n/cm²/s),Flux_per_Energy(n/cm²/s/MeV),Flux_per_Energy_Error(n/cm²/s/MeV),Dose_Rate(rem/hr)
3.16228,3.31131,3.23679,2.826175774087177e+18,4126216630167278,1.896380442922346e+19,2.768715446666625e+16,380701857820163.6
3.31131,3.46737,3.38934,2.580419675203845e+18,4386713447846536,1.653479222865469e+19,2.810914678871297e+16,355274933591694.6
3.46737,3.63078,3.54907,2.37519048421232e+18,3705297155371220,1.45351599303122e+19,2.267484949128703e+16,334323121920722.2
3.63078,3.80189,3.71634,2.251189376644651e+18,3511855427565656,1.315638698290369e+19,2.052396369332975e+16,323772319529295.9
3.80189,3.98107,3.89148,2.132455024426514e+18,3497226240059484,1.190118888506819e+19,1.951794977151183e+16,312982227078016.8
3.98107,4.16869,4.07488,2.003322703007279e+18,3405648595112374,1.067755411473872e+19,1.815184199505583e+16,299480246416030.9
4.16869,4.36516,4.26693,1.711892991923663e+18,3030050595704884,8.713253890790746e+18,1.542245938669962e+16,259996177079721.7
4.36516,4.57088,4.46802,1.550848392961911e+18,3008645882346108,7.538636948094085e+18,1.462495567930253e+16,238544540820124.7
4.57088,4.7863,4.67859,1.449019938154351e+18,3260294860847289,6.726487504198084e+18,1.513459688444569e+16,224888062607673.1
4.7863,5.01187,4.89909,1.339411401363548e+18,3562834327627037,5.937896889495705e+18,1.579480572605857e+16,208842518019783.8
5.01187,5.24807,5.12997,1.17347569063234e+18,3191853878519965,4.968144329518794e+18,1.351335257629112e+16,182887281843812.1
5.24807,5.49541,5.37174,1.015819629119735e+18,2763029391205680,4.106976749089261e+18,1.117097675752279e+16,157398976729339
5.49541,5.7544,5.6249,8.776370082506047e+17,2097552449718945,3.388690714894792e+18,8098970808598554,134685906047615.2
5.7544,6.0256,5.89,7.468220359494779e+17,1979078395266116,2.753768569135248e+18,7297486708208408,113275890527402.7
6.0256,6.30957,6.16758,6.323649861457226e+17,2295484899708973,2.226872508172421e+18,8083547204665890,94768563154935.02
6.30957,6.60693,6.45825,5.592752015211629e+17,1884757429126319,1.880801726934229e+18,6338301819768352,82940776601729.11
6.60693,6.91831,6.76262,5.003165862131061e+17,2346484789339468,1.606771745818956e+18,7535759487890902,73678848095710.48
6.91831,7.24436,7.08133,4.093953493775741e+17,1797245583767550,1.255621375180413e+18,5512177837042011,60181116358503.39
7.24436,7.58578,7.41507,2.891003336257157e+17,1332752538014550,8.467586363590775e+17,3903557313615348,42497749042980.21
7.58578,7.94328,7.76453,2.286623796827167e+17,1337674921143893,6.396150480635434e+17,3741748031171729,33613369813359.36
7.94328,8.317640000000001,8.130459999999999,1.855528253625251e+17,1183827025812910,4.956534495205806e+17,3162269007941304,27276265328291.19
8.317640000000001,8.70964,8.513640000000001,1.562210643105682e+17,1081049765029132,3.98523123241246e+17,2757780012829422,22964496453653.52
8.70964,9.12011,8.914870000000001,1.189239166845775e+17,890740135967485.6,2.897262082115075e+17,2170049299504191,17481815752632.89
9.12011,9.54993,9.33502,8.903236924602138e+16,795949381059431.1,2.071387307384987e+17,1851820252802178,13087758279165.14
9.54993,10,9.77496,6.930914498486776e+16,835175197067656.5,1.539963671981419e+17,1855656224737610,10188444312775.56
